   Ivv_br(kA/G)    Ivv_bz(kA/G)
 -1.0074317e-002 -1.0355460e-002
 -1.4550786e-003 -9.7525293e-003
  6.2882111e-003 -6.0892343e-003
  8.5848581e-003 -2.9477030e-003
  6.4346585e-003 -1.5239673e-003
  9.4440518e-004 -1.5331617e-003
 -7.9118220e-003 -2.6157106e-003
 -2.0710961e-002 -4.5343423e-003
 -3.7738300e-002 -7.0176888e-003
 -5.7788639e-002 -9.5519172e-003
 -7.7124626e-002 -1.1318460e-002
 -9.0479728e-002 -1.1554501e-002
 -9.4681591e-002 -1.0163700e-002
 -9.1181047e-002 -7.8105207e-003
 -8.4456949e-002 -5.3040445e-003
 -7.7841210e-002 -2.9994748e-003
 -7.2309662e-002 -9.0627444e-004
 -6.7880680e-002  1.0318175e-003
 -6.4569063e-002  2.8614455e-003
 -6.2425998e-002  4.6338770e-003
 -6.1362128e-002  6.3845145e-003
 -6.1361750e-002  8.1327042e-003
 -6.2530001e-002  9.9056665e-003
 -6.4908224e-002  1.1711568e-002
 -6.8528831e-002  1.3544250e-002
 -7.3445621e-002  1.5413067e-002
 -7.9209112e-002  1.7308314e-002
 -8.3120730e-002  1.9168063e-002
 -7.5779740e-002  2.0851057e-002
 -4.5422946e-002  2.2220550e-002
 -6.4686056e-003  2.3264934e-002
  1.3587604e-002  2.4029572e-002
  1.1802114e-002  2.4571513e-002
 -5.0046484e-003  2.4973111e-002
 -3.2521821e-002  2.5418945e-002
 -6.4618203e-002  2.6384940e-002
 -7.7663994e-002  2.8695598e-002
 -3.9268903e-002  3.1833115e-002
  1.3181648e-002  3.3270637e-002
  3.5106369e-002  3.3106920e-002
  3.4127632e-002  3.2601215e-002
  2.2848949e-002  3.2237624e-002
  7.1900805e-003  3.2131325e-002
 -1.0317491e-002  3.2329141e-002
 -2.8291198e-002  3.2888759e-002
 -4.5248967e-002  3.3898260e-002
 -5.7951476e-002  3.5448629e-002
 -5.8834495e-002  3.7455273e-002
 -3.7794103e-002  3.9238023e-002
  4.0014447e-003  3.9449070e-002
  4.3431717e-002  3.7585287e-002
  6.1900491e-002  3.4859070e-002
  6.1515862e-002  3.2390337e-002
  4.9238735e-002  3.0497819e-002
  2.9984713e-002  2.9175628e-002
  7.6711554e-003  2.8324196e-002
 -1.5080078e-002  2.7824450e-002
 -3.6116207e-002  2.7596113e-002
 -5.0098900e-002  2.7588212e-002
 -3.7140262e-002  2.7591352e-002
  3.8391075e-002  2.6563703e-002
  7.5626190e-002  2.4814208e-002
  3.2785439e-002  2.4699724e-002
 -5.1067656e-003  2.5508734e-002
 -2.3623163e-002  2.6765483e-002
 -2.4271142e-002  2.8229041e-002
 -1.0728274e-002  2.9506900e-002
  1.1486110e-002  3.0190876e-002
  3.6614033e-002  2.9966036e-002
  5.9253749e-002  2.8705382e-002
  7.5933741e-002  2.6600312e-002
  8.5833141e-002  2.3970231e-002
  8.9785766e-002  2.1117914e-002
  8.9544404e-002  1.8285404e-002
  8.6618178e-002  1.5595861e-002
  8.2212765e-002  1.3113478e-002
  7.7227455e-002  1.0861152e-002
  7.2277629e-002  8.8377554e-003
  6.7871893e-002  7.0296237e-003
  6.4178711e-002  5.3992684e-003
  6.1186844e-002  3.9067904e-003
  5.9051722e-002  2.5196510e-003
  5.7915977e-002  1.1940545e-003
  5.7825658e-002 -1.2175745e-004
  5.8980204e-002 -1.4843291e-003
  6.1675534e-002 -2.9715134e-003
  6.5940851e-002 -4.6688294e-003
  7.1094139e-002 -6.5776272e-003
  7.5669729e-002 -8.4873478e-003
  7.7519833e-002 -9.9551836e-003
  7.4080859e-002 -1.0410137e-002
  6.4180049e-002 -9.5264314e-003
  4.9674813e-002 -7.5957325e-003
  3.4214719e-002 -5.3464238e-003
  2.0599445e-002 -3.4310498e-003
  9.7889510e-003 -2.2033050e-003
  1.5051460e-003 -1.8283372e-003
 -4.9287154e-003 -2.4622622e-003
 -9.9089240e-003 -4.3346464e-003
 -1.2607514e-002 -7.4604666e-003
