n
50
a T_i
 0  24948.8  
 0.0204082  24901.5  
 0.0408163  24794.1  
 0.0612245  24609.6  
 0.0816327  24313.8  
 0.102041  23982.8  
 0.122449  23623  
 0.142857  23235.8  
 0.163265  22822.4  
 0.183673  22382.6  
 0.204082  21916.1  
 0.22449  21424  
 0.244898  20910  
 0.265306  20377.7  
 0.285714  19829.9  
 0.306122  19269.2  
 0.326531  18697.9  
 0.346939  18118.4  
 0.367347  17532.8  
 0.387755  16943.8  
 0.408163  16353.8  
 0.428571  15765.2  
 0.44898  15180.4  
 0.469388  14601.7  
 0.489796  14031.1  
 0.510204  13470.2  
 0.530612  12920.6  
 0.55102  12383.3  
 0.571429  11859.1  
 0.591837  11348.7  
 0.612245  10852.3  
 0.632653  10370.1  
 0.653061  9902.01  
 0.673469  9447.56  
 0.693878  9005.85  
 0.714286  8576.13  
 0.734694  8158  
 0.755102  7751.38  
 0.77551  7356.28  
 0.795918  6972.8  
 0.816327  6601.42  
 0.836735  6242.89  
 0.857143  5898.19  
 0.877551  5568.04  
 0.897959  5252.45  
 0.918367  4950.29  
 0.938776  4524.43  
 0.959184  3542.78  
 0.979592  1460.99  
 1  50  
a T_e
 0  27241.7  
 0.0204082  27160.7  
 0.0408163  26976.6  
 0.0612245  26677.3  
 0.0816327  26304  
 0.102041  25892.8  
 0.122449  25449.1  
 0.142857  24977.4  
 0.163265  24481.2  
 0.183673  23962.1  
 0.204082  23421.3  
 0.22449  22860.2  
 0.244898  22281.2  
 0.265306  21686.9  
 0.285714  21079.8  
 0.306122  20462.4  
 0.326531  19837.5  
 0.346939  19207  
 0.367347  18573.4  
 0.387755  17938.8  
 0.408163  17305.5  
 0.428571  16675.5  
 0.44898  16051  
 0.469388  15433.8  
 0.489796  14825.6  
 0.510204  14228.3  
 0.530612  13643.3  
 0.55102  13072.2  
 0.571429  12516.1  
 0.591837  11975.8  
 0.612245  11451.5  
 0.632653  10943  
 0.653061  10449.3  
 0.673469  9968.52  
 0.693878  9498.46  
 0.714286  9037.06  
 0.734694  8582.9  
 0.755102  8135.37  
 0.77551  7694.59  
 0.795918  7261.27  
 0.816327  6837.21  
 0.836735  6425.08  
 0.857143  6028.12  
 0.877551  5649.38  
 0.897959  5291.31  
 0.918367  4955.31  
 0.938776  4496.32  
 0.959184  3477.42  
 0.979592  1386.19  
 1  50  
a n_d
 0  8.4  
 0.0204082  8.4  
 0.0408163  8.4  
 0.0612245  8.4  
 0.0816327  8.4  
 0.102041  8.4  
 0.122449  8.4  
 0.142857  8.4  
 0.163265  8.4  
 0.183673  8.4  
 0.204082  8.4  
 0.22449  8.4  
 0.244898  8.4  
 0.265306  8.4  
 0.285714  8.4  
 0.306122  8.4  
 0.326531  8.4  
 0.346939  8.4  
 0.367347  8.4  
 0.387755  8.4  
 0.408163  8.4  
 0.428571  8.4  
 0.44898  8.4  
 0.469388  8.4  
 0.489796  8.4  
 0.510204  8.4  
 0.530612  8.4  
 0.55102  8.4  
 0.571429  8.4  
 0.591837  8.4  
 0.612245  8.4  
 0.632653  8.4  
 0.653061  8.4  
 0.673469  8.4  
 0.693878  8.4  
 0.714286  8.4  
 0.734694  8.4  
 0.755102  8.4  
 0.77551  8.4  
 0.795918  8.4  
 0.816327  8.40002  
 0.836735  8.40005  
 0.857143  8.40007  
 0.877551  8.40009  
 0.897959  8.40004  
 0.918367  8.39913  
 0.938776  8.38855  
 0.959184  7.59611  
 0.979592  5.77452  
 1  3.96305  
 
