ktime   !scr_data.dat
79
Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
0.0  0.001  23.16828  22.24421  22.14061  22.29628  23.2547  10.06233  1.252842  0.02412295  0.5276274  -0.1815998  9.641887  
0.05  0.001  23.12842  22.21038  22.05118  22.29148  23.09789  9.868193  1.225576  0.02482897  0.5231985  -0.1720633  9.540113  
0.1  0.001  23.08891  22.17929  21.98024  22.31121  22.92641  9.676058  1.189867  0.03435421  0.5246583  -0.1567267  9.443678  
0.15  0.001  23.04165  22.14269  21.91418  22.3356  22.74795  9.491626  1.155059  0.05216942  0.5325928  -0.1363376  9.352056  
0.2  0.001  22.98746  22.10203  21.85163  22.36392  22.56368  9.313657  1.120882  0.07573061  0.5439651  -0.1133129  9.263569  
0.25  0.001  22.93071  22.06193  21.78939  22.39497  22.37943  9.141286  1.088301  0.09784524  0.5499776  -0.0942098  9.175819  
0.3  0.001  22.87118  22.02213  21.72704  22.42826  22.19528  8.973887  1.057204  0.1182077  0.5503383  -0.07917103  9.088564  
0.35  0.001  22.80865  21.98251  21.66325  22.46334  22.01129  8.810977  1.027453  0.1367128  0.5454661  -0.06821744  9.001835  
0.4  0.001  22.7447  21.94607  21.58749  22.49859  21.82971  8.652101  0.9992232  0.1511952  0.5370935  -0.06327808  8.916478  
0.45  0.001  22.67951  21.91333  21.49772  22.53372  21.65103  8.496948  0.9725282  0.1612393  0.5257541  -0.06467455  8.832706  
0.5  0.001  22.61304  21.88402  21.3945  22.56865  21.47521  8.345289  0.9473298  0.1669633  0.5116213  -0.07219969  8.750542  
0.55  0.001  22.55593  21.85667  21.2865  22.59455  21.30364  8.196304  0.9233618  0.1693535  0.4973526  -0.08121514  8.670163  
0.6  0.001  22.51438  21.83007  21.17859  22.60627  21.13717  8.049408  0.9004247  0.1689327  0.4844206  -0.08917797  8.591486  
0.65  0.001  22.48808  21.80385  21.07051  22.60409  20.97579  7.904445  0.8784669  0.1656584  0.4727339  -0.09629015  8.514348  
0.7  0.001  22.47599  21.77578  20.96772  22.57916  20.82138  7.761312  0.8572532  0.1608387  0.4620566  -0.1027027  8.43859  
0.75  0.001  22.47668  21.7424  20.87907  22.51709  20.67716  7.619945  0.8363943  0.1566029  0.4520262  -0.1085482  8.364066  
0.8  0.001  22.49  21.7035  20.80408  22.41824  20.54316  7.480264  0.8157983  0.1528761  0.4425546  -0.1139075  8.290726  
0.85  0.001  22.51391  21.66087  20.73882  22.29037  20.41774  7.34229  0.7953901  0.1495744  0.4335695  -0.1188445  8.218562  
0.9  0.001  22.54035  21.62243  20.66867  22.16391  20.29413  7.206371  0.7751057  0.1466285  0.4250077  -0.123412  8.147643  
0.95  0.001  22.56843  21.58905  20.59234  22.04155  20.17138  7.072508  0.7548916  0.1439804  0.4168142  -0.1276557  8.077904  
1.0  0.001  22.59835  21.55876  20.51159  21.92256  20.04938  6.940817  0.734697  0.1415816  0.4089409  -0.131618  8.009261  
1.05  0.001  22.63261  21.50534  20.44756  21.80235  19.92854  6.813506  0.7143749  0.1393807  0.4013447  -0.1353396  7.941623  
1.1  0.001  22.67214  21.42125  20.40595  21.67919  19.80894  6.691179  0.6938483  0.1373392  0.3939874  -0.1388593  7.874913  
1.15  0.0505  22.71694  21.30683  20.38503  21.55263  19.69049  6.573729  0.6730699  0.1353642  0.3867608  -0.1422431  7.809036  
1.2  0.1  22.76228  21.17724  20.35574  21.4445  19.58267  6.465063  0.6652446  0.1333992  0.3800793  -0.142721  7.746344  
1.25  0.1545455  22.8041  21.04469  20.2974  21.37172  19.49247  6.367671  0.680151  0.1312032  0.3742355  -0.1383016  7.688274  
1.3  0.2090909  22.842  20.9087  20.21021  21.33293  19.41915  6.280675  0.7168022  0.1283161  0.3688796  -0.1293953  7.634184  
1.35  0.2636364  22.87055  20.77945  20.10677  21.31562  19.35792  6.201173  0.7623853  0.1241898  0.3631355  -0.1178607  7.582871  
1.4  0.3181818  22.87871  20.67784  20.01026  21.29451  19.29961  6.124558  0.7913533  0.1183588  0.3554924  -0.1070958  7.532665  
1.45  0.3727273  22.86647  20.60366  19.92098  21.26953  19.24426  6.051344  0.8040849  0.1112335  0.3461287  -0.09699847  7.483744  
1.5  0.4272727  22.83443  20.55358  19.83803  21.24205  19.19036  5.982355  0.8040032  0.103192  0.3353594  -0.08766942  7.436373  
1.55  0.4818182  22.78431  20.51241  19.75889  21.21752  19.12851  5.91974  0.8058868  0.09473928  0.3241633  -0.08034621  7.391274  
1.6  0.5363636  22.71662  20.47818  19.68324  21.19689  19.05755  5.863567  0.8116252  0.08588448  0.3127099  -0.07511796  7.348705  
1.65  0.5909091  22.63209  20.45058  19.61115  21.18017  18.97795  5.813514  0.8209029  0.07661402  0.3010614  -0.07183815  7.308773  
1.7  0.6454545  22.54199  20.41733  19.54032  21.16397  18.89518  5.766587  0.8309035  0.06699576  0.2896395  -0.06944624  7.271098  
1.75  0.7  22.45095  20.37375  19.46962  21.14697  18.81147  5.721649  0.8405936  0.05706751  0.278595  -0.06752421  7.235508  
1.8  0.7266667  22.35906  20.32015  19.39901  21.12926  18.72689  5.678738  0.8500334  0.04682327  0.2679029  -0.06607269  7.202004  
1.85  0.7533333  22.27107  20.26184  19.33095  21.10288  18.64702  5.637167  0.8572226  0.03650253  0.2572949  -0.0650992  7.169472  
1.9  0.78  22.19193  20.20408  19.26795  21.05956  18.5779  5.596236  0.8601221  0.02640611  0.2465094  -0.06458521  7.13676  
1.95  0.8066667  22.12151  20.14657  19.20987  20.99968  18.51948  5.556014  0.8588976  0.01658097  0.2355649  -0.0644994  7.103935  
2.0  0.8333333  22.05971  20.08915  19.1566  20.92353  18.47174  5.516546  0.8536558  0.007062134  0.2244739  -0.06481869  7.071048  
2.05  0.86  22.0024  20.03062  19.10452  20.83865  18.42819  5.476484  0.8468321  -0.002251836  0.2133511  -0.06528822  7.037164  
2.1  0.8866667  21.94529  19.96998  19.05001  20.75291  18.38198  5.434405  0.840902  -0.01151654  0.2023064  -0.06563542  7.001364  
2.15  0.9133333  21.8885  19.90746  18.99324  20.66629  18.33323  5.390379  0.8357753  -0.02075738  0.1913341  -0.06584384  6.963773  
2.2  0.94  21.83211  19.84323  18.93435  20.57879  18.28199  5.344457  0.8314019  -0.02999206  0.1804314  -0.06589769  6.924475  
2.25  0.9666667  21.77616  19.7774  18.87343  20.49044  18.22832  5.296683  0.8277498  -0.03923426  0.1695971  -0.06578326  6.883533  
2.3  0.9933333  21.72066  19.71008  18.81055  20.40124  18.17226  5.247096  0.824797  -0.04849493  0.15883  -0.06548946  6.840991  
2.35  1.02  21.66562  19.6413  18.74577  20.31122  18.11383  5.195731  0.8225275  -0.05778333  0.1481284  -0.06500798  6.796887  
2.4  1.046667  21.61104  19.57112  18.67911  20.22038  18.05307  5.142619  0.8209289  -0.06710725  0.1374907  -0.06433292  6.751253  
2.45  1.073333  21.55693  19.49957  18.6106  20.12876  17.98999  5.087791  0.8199916  -0.07647312  0.1269148  -0.0634602  6.704112  
2.5  1.1  21.50327  19.42666  18.54026  20.03634  17.92461  5.031276  0.8197075  -0.0858862  0.116399  -0.06238715  6.655488  
2.55  1.125  21.44895  19.35276  18.46775  19.94456  17.85761  4.97384  0.8197277  -0.09517517  0.1059431  -0.06108283  6.606312  
2.6  1.15  21.39277  19.27831  18.3927  19.85487  17.78965  4.916283  0.819685  -0.1041561  0.09554249  -0.05953322  6.557506  
2.65  1.175  21.33474  19.2033  18.31514  19.76718  17.72066  4.858599  0.8195843  -0.1128333  0.08519194  -0.05775843  6.508997  
2.7  1.2  21.27487  19.12775  18.23512  19.6814  17.65062  4.800786  0.819429  -0.1212079  0.07488904  -0.05577315  6.460739  
2.75  1.225  21.21317  19.05168  18.1527  19.59748  17.5795  4.742846  0.8192221  -0.1292789  0.0646336  -0.05358833  6.412697  
2.8  1.25  21.14966  18.97509  18.06791  19.51538  17.50728  4.684783  0.8189675  -0.1370439  0.05442706  -0.05121172  6.364847  
2.85  1.275  21.08435  18.89801  17.9808  19.43507  17.43397  4.626599  0.8186693  -0.1444993  0.04427205  -0.04864843  6.31717  
2.9  1.3  21.01725  18.82043  17.89142  19.35651  17.35957  4.5683  0.8183316  -0.1516413  0.03417175  -0.04590163  6.269655  
2.95  1.325  20.94838  18.74238  17.7998  19.2797  17.28407  4.50989  0.8179583  -0.1584663  0.02412908  -0.04297325  6.222291  
3.0  1.35  20.87776  18.66386  17.70597  19.2046  17.20748  4.451372  0.817553  -0.1649707  0.0141469  -0.0398643  6.175072  
3.05  1.375  20.8056  18.58647  17.61077  19.13276  17.12978  4.392922  0.8168864  -0.1710526  0.004374552  -0.03688929  6.128106  
3.1  1.4  20.7321  18.51189  17.51512  19.06579  17.0509  4.334725  0.8157265  -0.1765951  -0.005018587  -0.03436902  6.081516  
3.15  1.425  20.65727  18.44004  17.41908  19.0036  16.97085  4.276776  0.8140983  -0.1815802  -0.01401123  -0.03227726  6.035306  
3.2  1.45  20.58109  18.37088  17.32262  18.94614  16.88962  4.219073  0.8120174  -0.1859958  -0.02258923  -0.0305957  5.989477  
3.25  1.475  20.50357  18.30433  17.22567  18.89334  16.80723  4.161607  0.8094892  -0.1898395  -0.03074985  -0.02931528  5.944025  
3.3  1.5  20.42471  18.24032  17.12813  18.84511  16.72367  4.10437  0.8065121  -0.193115  -0.03849813  -0.02843415  5.898945  
3.35  1.525  20.34451  18.17879  17.02991  18.80138  16.63897  4.047349  0.8030805  -0.1958303  -0.04584384  -0.0279555  5.854225  
3.4  1.55  20.26296  18.11966  16.93091  18.76207  16.55311  3.990532  0.7991858  -0.1979955  -0.05279956  -0.02788592  5.809855  
3.45  1.575  20.18007  18.06288  16.83107  18.72711  16.46611  3.933906  0.7948178  -0.1996224  -0.05937932  -0.02823414  5.765822  
3.5  1.6  20.09583  18.00838  16.7303  18.69644  16.37796  3.877459  0.7899654  -0.2007232  -0.06559791  -0.02901029  5.722112  
7.5  2.5  18.57  18.1882  13.4461  18.9666  15.1173  5.1834  0.8522  -0.85  -0.1855  -1.0  8.0  
12.0  3.5  17.027  17.8172  9.2975  15.8399  15.3296  4.1982  0.602  -1.1  -0.5805  -2.2254  10.3234  
21.938  5.4  14.97  15.4193  3.0752  14.7189  15.1403  3.7528  -0.3912  -1.1  -1.9752  -1.7103  9.4104  
74.978  15.0  4.0  -10.8  -21.64  -7.708  5.5  5.021  -3.13  -5.027  -4.272  -7.831  17.334  
