  ktime 
 526
  time [S], Ecoil [kA] 
  2.950000E+00 -2.322011E+00 -2.109649E+00 -2.320570E+00 -1.993214E+00
  2.952000E+00 -2.327606E+00 -2.120781E+00 -2.309467E+00 -1.987646E+00
  2.954000E+00 -2.322011E+00 -2.115215E+00 -2.292812E+00 -2.004349E+00
  2.956000E+00 -2.316415E+00 -2.120781E+00 -2.326122E+00 -1.987646E+00
  2.958000E+00 -2.316415E+00 -2.115215E+00 -2.309467E+00 -2.009916E+00
  2.960000E+00 -2.316415E+00 -2.126348E+00 -2.292812E+00 -1.993214E+00
  2.962000E+00 -2.327606E+00 -2.126348E+00 -2.303916E+00 -2.015484E+00
  2.964000E+00 -2.327606E+00 -2.131914E+00 -2.292812E+00 -1.993214E+00
  2.966000E+00 -2.344391E+00 -2.126348E+00 -2.331674E+00 -1.998781E+00
  2.968000E+00 -2.333201E+00 -2.120781E+00 -2.320570E+00 -2.009916E+00
  2.970000E+00 -2.344391E+00 -2.126348E+00 -2.326122E+00 -2.026619E+00
  2.972000E+00 -2.355582E+00 -2.148613E+00 -2.259503E+00 -2.009916E+00
  2.974000E+00 -2.316415E+00 -2.126348E+00 -2.276158E+00 -2.026619E+00
  2.976000E+00 -2.327606E+00 -2.137480E+00 -2.281709E+00 -2.032187E+00
  2.978000E+00 -2.310820E+00 -2.131914E+00 -2.281709E+00 -2.037755E+00
  2.980000E+00 -2.333201E+00 -2.131914E+00 -2.265054E+00 -2.037755E+00
  2.982000E+00 -2.327606E+00 -2.131914E+00 -2.259503E+00 -2.043322E+00
  2.984000E+00 -2.322011E+00 -2.104082E+00 -2.281709E+00 -2.065593E+00
  2.986000E+00 -2.338796E+00 -2.104082E+00 -2.248399E+00 -2.054457E+00
  2.988000E+00 -2.344391E+00 -2.104082E+00 -2.265054E+00 -2.071160E+00
  2.990000E+00 -2.305225E+00 -2.109649E+00 -2.270606E+00 -2.076728E+00
  2.992000E+00 -2.305225E+00 -2.109649E+00 -2.276158E+00 -2.071160E+00
  2.994000E+00 -2.299630E+00 -2.104082E+00 -2.287261E+00 -2.082296E+00
  2.996000E+00 -2.333201E+00 -2.120781E+00 -2.259503E+00 -2.076728E+00
  2.998000E+00 -2.333201E+00 -2.109649E+00 -2.265054E+00 -2.087863E+00
  3.000000E+00 -2.327606E+00 -2.115215E+00 -2.231745E+00 -2.093431E+00
  3.002000E+00 -2.305225E+00 -2.120781E+00 -2.248399E+00 -2.104566E+00
  3.004000E+00 -2.305225E+00 -2.115215E+00 -2.259503E+00 -2.104566E+00
  3.006000E+00 -2.288439E+00 -2.115215E+00 -2.259503E+00 -2.104566E+00
  3.008000E+00 -2.305225E+00 -2.109649E+00 -2.226193E+00 -2.110134E+00
  3.010000E+00 -2.282844E+00 -2.120781E+00 -2.242848E+00 -2.093431E+00
  3.012000E+00 -2.294034E+00 -2.126348E+00 -2.231745E+00 -2.087863E+00
  3.014000E+00 -2.277249E+00 -2.120781E+00 -2.242848E+00 -2.087863E+00
  3.016000E+00 -2.266058E+00 -2.137480E+00 -2.281709E+00 -2.087863E+00
  3.018000E+00 -2.277249E+00 -2.126348E+00 -2.259503E+00 -2.082296E+00
  3.020000E+00 -2.266058E+00 -2.143047E+00 -2.248399E+00 -2.076728E+00
  3.022000E+00 -2.277249E+00 -2.143047E+00 -2.253951E+00 -2.054457E+00
  3.024000E+00 -2.282844E+00 -2.143047E+00 -2.253951E+00 -2.065593E+00
