ktime   !scr_data.dat
76
Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
0.0  0.001  11.07961  11.07972  11.08042  11.08034  11.08005  5.715803  0.6290786  0.0103436  0.155108  -0.09960567  4.96985  
0.05  0.001  10.9961  11.02794  10.95928  11.08295  10.81931  5.570511  0.6011849  0.00347555  0.1461828  -0.1077962  4.91173  
0.1  0.001  10.92274  10.99605  10.85362  11.10279  10.5622  5.425592  0.5662291  0.0003201145  0.1399596  -0.1164258  4.857315  
0.15  0.001  10.84833  10.96891  10.75201  11.12201  10.31305  5.287411  0.5329216  0.00286639  0.1383851  -0.123581  4.807214  
0.2  0.001  10.77208  10.94588  10.6537  11.14005  10.0707  5.154864  0.500648  0.01085716  0.1412588  -0.1295461  4.760516  
0.25  0.001  10.69539  10.92543  10.55799  11.15746  9.833826  5.027183  0.4692735  0.02141587  0.1462688  -0.1349175  4.71605  
0.3  0.001  10.61989  10.90607  10.46427  11.17492  9.601289  4.903787  0.4388561  0.03163617  0.1511076  -0.1401797  4.672856  
0.35  0.001  10.54517  10.8873  10.37216  11.19203  9.372706  4.784236  0.4092049  0.04155421  0.1558407  -0.1453701  4.630697  
0.4  0.001  10.47093  10.86874  10.28133  11.20847  9.147774  4.668183  0.3801623  0.0511747  0.1604973  -0.1505355  4.589391  
0.45  0.001  10.39517  10.84338  10.18885  11.21785  8.929803  4.555535  0.3517133  0.05982035  0.1642532  -0.1560792  4.548659  
0.5  0.001  10.31598  10.8043  10.09197  11.21371  8.722325  4.446298  0.3239025  0.06680256  0.1662648  -0.1623776  4.508272  
0.55  0.001  10.2334  10.75191  9.990923  11.19638  8.525005  4.340329  0.2966849  0.07216417  0.1665986  -0.1694069  4.468196  
0.6  0.001  10.14748  10.68655  9.885888  11.16618  8.337538  4.237515  0.2700331  0.07593567  0.1653029  -0.1771507  4.428416  
0.65  0.001  10.06349  10.60803  9.782433  11.12275  8.159415  4.137468  0.2439419  0.07809302  0.1621422  -0.1854556  4.388791  
0.7  0.001  9.986896  10.51594  9.686056  11.06565  7.990131  4.039767  0.2184149  0.07861129  0.1568627  -0.1941554  4.349187  
0.75  0.001  9.917408  10.41036  9.596261  10.9951  7.82943  3.944315  0.1934472  0.07751439  0.1495013  -0.2032347  4.309621  
0.8  0.001  9.854767  10.29141  9.512665  10.91133  7.677055  3.851032  0.169033  0.07481975  0.1400852  -0.2126802  4.270111  
0.85  0.001  9.800394  10.16348  9.434433  10.81781  7.53199  3.759678  0.1450277  0.07158114  0.1299009  -0.2220399  4.230609  
0.9  0.001  9.75574  10.03103  9.360717  10.71809  7.393163  3.669986  0.1212387  0.06885971  0.1202468  -0.2308979  4.191028  
0.95  0.001  9.720476  9.893885  9.291266  10.61219  7.260351  3.581868  0.09761422  0.06657769  0.1110362  -0.2393246  4.151328  
1.0  0.001  9.69432  9.751967  9.225858  10.50013  7.13334  3.495247  0.07410734  0.06467553  0.1022034  -0.2473736  4.111478  
1.05  0.001  9.670304  9.620391  9.16874  10.38219  7.013533  3.412382  0.05698995  0.06235818  0.09358933  -0.25458  4.073567  
1.1  0.001  9.640941  9.514457  9.124009  10.25853  6.902294  3.335352  0.05262386  0.05868403  0.08501439  -0.2605016  4.039656  
1.15  0.0505  9.606046  9.432627  9.090031  10.12893  6.799195  3.263605  0.06047091  0.05344018  0.07633413  -0.2652867  4.009464  
1.2  0.1  9.565388  9.37332  9.064756  9.992839  6.703791  3.196612  0.08003056  0.0463098  0.06725273  -0.2691599  3.982701  
1.25  0.1545455  9.520417  9.323466  9.031986  9.867877  6.615087  3.13414  0.1001488  0.03845056  0.05778794  -0.2713169  3.958048  
1.3  0.2090909  9.472911  9.27  8.974753  9.771952  6.53194  3.076378  0.1094645  0.031209  0.04788085  -0.2709516  3.934065  
1.35  0.2636364  9.423169  9.213966  8.895735  9.704198  6.454065  3.023539  0.108555  0.02471635  0.03753689  -0.2681757  3.910614  
1.4  0.3181818  9.371551  9.15629  8.79705  9.66414  6.381322  2.975823  0.09787399  0.01916818  0.02687495  -0.262995  3.887621  
1.45  0.3727273  9.311602  9.099603  8.693479  9.638686  6.306427  2.934482  0.08557297  0.0139739  0.01612786  -0.2580981  3.865882  
1.5  0.4272727  9.236427  9.046176  8.599318  9.61444  6.222036  2.900506  0.07984863  0.008327886  0.005520254  -0.2562434  3.846448  
1.55  0.4818182  9.146459  8.995917  8.51391  9.591797  6.128687  2.873597  0.0803776  0.002189037  -0.00489423  -0.2572661  3.829478  
1.6  0.5363636  9.042037  8.948687  8.436816  9.570985  6.026802  2.853494  0.08696873  -0.004475837  -0.01507715  -0.2610523  3.815093  
1.65  0.5909091  8.931756  8.89972  8.366072  9.550283  5.922243  2.8378  0.09666671  -0.01173785  -0.02496657  -0.2664186  3.802863  
