 time[sec] Ip[MA] R[cm]   Z[cm]   Br[T]   Bz[T]
  7.59049662  2.50035423  405.702845  30.3737025 -0.0516503256  0.347640577
  7.59049662  2.50035423  780.79694  30.3737025  0.013502272 -0.242845613
 =================================
  16.9704966  5.0016424  405.682031  29.2897955 -0.0298114441  0.702433845
  16.9704966  5.0016424  805.117602  29.2897955 -0.0233334365 -0.448825532
 =================================
  642.210497  7.49936172  405.728072  20.135919 -0.0178386041  1.06081543
  642.210497  7.49936172  800.315368  20.135919 -0.00895752336 -0.761151058
 =================================
  657.890497  4.99981247  405.691217  37.4549918 -0.0176699031  0.72523783
  657.890497  4.99981247  789.17399  37.4549918 -0.00970512362 -0.512165309
 =================================
  672.320497  2.49794029  405.801737  51.3005157 -0.0264248013  0.339812072
  672.320497  2.49794029  781.362332  51.3005157  0.00408048344 -0.271106736
 =================================
