ktime                                             
 15
time                                              
 -2.500000E+00  464.6	       !5.888000E+01
  3.500000E+00  464.6	       !5.888000E+01
  7.330000E+00  454.	       !4.800000E+01
  8.000000E+00  446.	       !4.000000E+01
  9.000000E+00  441.	       !3.500000E+01
  1.117000E+01  436.	       !3.002000E+01
  1.500000E+01  419.4	       !1.222790E+01
  2.000000E+01  419.4	       !1.238462E+01
  6.999998E+01  419.4	       !1.426530E+01
  2.000000E+02  419.4
  5.000000E+02  430.
  6.000000E+02  426.6
  6.500000E+02  426.6
  7.000000E+02  440.
  8.366664E+03  440.
