Time(s), Ip, I(CSU3), I(CSU2), I(CSU1), I(CSL1), I(CSL2), I(CSL3), I(PF1), I(PF2), I(PF3), I(PF4), I(PF5), I(PF6)
0.0, 0, 19.665, 20.943, 20.943, 20.943, 20.943, 19.351, 9.6336, 1.05910, 0.14111, 0.87188, -1.1185, 12.943
0.8, 0.0, 19.665, 20.943, 20.943, 20.943, 20.943, 19.351, 9.6336, 1.05910, 0.14111, 0.87188, -1.1185, 12.943
1.016, 0.4, 16.402, 17.468, 17.468, 17.468, 17.468, 16.140, 9.6000, 0.38307, 0.04273, 0.81791, -1.9167, 12.900
3.968, 1.5, 16.040, 16.230, 13.106, 13.106, 16.430, 15.800, 9.6700, -0.89746, 0.19468, 0.48223, -3.0021, 13.220
6.904, 2.5, 15.600, 14.760, 10.099, 10.099, 15.180, 15.400, 9.7310, -1.49580, 0.03145, 0.19695, -3.6455, 13.600
10.104, 3.5, 15.090, 13.040, 7.316, 7.316, 13.730, 14.930, 9.8140, -2.14610, 0.04765, -0.33776, -4.0540, 14.030
13.640, 4.5, 14.470, 10.940, 4.724, 4.724, 11.970, 14.350, 9.9150, -2.24710, -0.43608, -0.61568, -4.4916, 14.570
17.576, 5.5, 13.730, 8.472, 2.161, 2.161, 9.884, 13.680, 10.0400, -2.22410, -0.95885, -0.96403, -4.8384, 15.200
22.032, 6.5, 13.000, 6.000, 0.050, 0.050, 7.800, 13.000, 10.1540, -1.80350, -2.01570, -0.92895, -5.4472, 15.837
27.152, 7.5, 11.900, 4.428, -2.987, -2.987, 6.785, 11.590, 9.3810, -1.79400, -2.40660, -1.37640, -5.7330, 16.110
33.176, 8.5, 10.810, 2.856, -6.009, -6.009, 5.771, 10.190, 8.6090, -1.78500, -2.82930, -1.79030, -6.0190, 16.390
39.336, 9.5, 9.713, 1.284, -9.020, -9.020, 4.756, 8.782, 7.8360, -1.77500, -3.27760, -2.17350, -6.3040, 16.660
45.488, 10.5, 8.618, -0.288, -11.975, -11.975, 3.741, 7.377, 7.0630, -1.76600, -3.74430, -2.52930, -6.5900, 16.940
51.640, 11.5, 7.522, -1.860, -14.915, -14.915, 2.727, 5.971, 6.2910, -1.75700, -4.23700, -2.85020, -6.8760, 17.220
61.640, 12.5, 6.427, -3.432, -17.775, -17.775, 1.712, 4.565, 5.5180, -1.74700, -4.74460, -3.14380, -7.1610, 17.490
77.640, 13.3, 5.550, -4.690, -20.051, -20.051, 0.900, 3.440, 4.9000, -1.74000, -5.17210, -3.35120, -7.3900, 17.712
165.0, 13.3, 1.930, -5.250, -18.982, -18.982, -1.94, 0.870, 4.2500, -0.99184, -6.41500, -4.68820, -6.0700, 16.181
