  ktime t_bar
  9     0.003
  time [S], zeff_a		zeff_b 
  -0.01    1.     1.
  0.e-5    1.     1.
  1100.e-3  1.     1.
  1850.e-3 3.     3.
  2950.e-3 4.     4.
  3.5	    2.018		2.018
  12.0	    1.95		1.95
  50.0	    1.86		1.86
  1000.     1.86		1.86

  ktime t_bar
  13     0.003
  time [S], zeff_a		zeff_b 
  -0.01    1.     1.
  0.e-5    1.     1.
  920.e-3  1.     1.
  1670.e-3 3.     3.
  2770.e-3 4.     4.
  1000.e-2 4.     4.
  10.       2.5			2.5
  20.       2.0			2.0
  30.       1.8			1.8
  40.       1.75		1.75
  50.       1.73		1.73
  80.       1.70		1.70
  1000.     1.70		1.70


  ktime t_bar
  13     0.003
  time [S], zeff_a		zeff_b 
  -0.01    1.     1.
  0.e-5    1.     1.
  750.e-3  1.     1.
  1500.e-3 3.     3.
  2600.e-3 4.     4.
  1000.e-2 4.     4.
  10.       2.5			2.5
  20.       2.0			2.0
  30.       1.8			1.8
  40.       1.75		1.75
  50.       1.73		1.73
  80.       1.70		1.70
  1000.     1.70		1.70


  ktime t_bar
  12     0.003
  time [S], zeff_a		zeff_b 
  -0.01    1.     1.
  0.e-5    1.     1.
  1330e-3  1.     1.
  2600.e-3 3.     3.
  1000.e-2 4.     4.
  10.       2.5			2.5
  20.       2.0			2.0
  30.       1.8			1.8
  40.       1.75		1.75
  50.       1.73		1.73
  80.       1.70		1.70
  1000.     1.70		1.70




