  ktime
 9999
  time [S], zpp
  3.50000017  0.0483913903 1
  3.50100017  0.0347712557 2
  3.50200017  0.00789579317 3
  3.50300017 -0.0135315783 4
  3.50420017 -0.0324575101 5
  3.50564017 -0.054282835 6
  3.50736817 -0.079689584 7
  3.50944177 -0.112262738 8
  3.51193009 -0.148422183 9
  3.51491607 -0.188521399 10
  3.51849925 -0.233376247 11
  3.52279907 -0.250064693 12
  3.52795886 -0.206690268 13
  3.53415059 -0.281423685 14
  3.54158068 -0.382946741 15
  3.55049679 -0.493593287 16
  3.56049679 -0.634038332 17
  3.57049679 -0.745644308 18
  3.58049679 -0.843458577 19
  3.59049679 -0.94245259 20
  3.60049679 -1.01750473 21
  3.61049679 -1.10402038 22
  3.62049679 -1.075343 23
  3.63049679 -1.07052774 24
  3.64049679 -1.0305404 25
  3.65049679 -1.01252221 26
  3.66049679 -0.973119239 27
  3.67049679 -0.929786375 28
  3.68049679 -0.89675383 29
  3.69049679 -0.829994286 30
  3.70049679 -0.793591986 31
  3.7104968 -0.727525284 32
  3.7204968 -0.720789909 33
  3.7304968 -0.700559905 34
  3.7404968 -0.713352299 35
  3.7504968 -0.684921256 36
  3.7604968 -0.665949284 37
  3.7704968 -0.674691884 38
  3.7804968 -0.658790846 39
  3.7904968 -0.660920908 40
  3.8004968 -0.680173229 41
  3.8104968 -0.662409645 42
  3.8204968 -0.690857528 43
  3.8304968 -0.680055276 44
  3.8404968 -0.7095273 45
  3.8504968 -0.755567799 46
  3.8604968 -0.705864549 47
  3.8704968 -0.724678148 48
  3.8804968 -0.751042757 49
  3.8904968 -0.80064916 50
  3.9004968 -0.745810138 51
  3.9104968 -0.789172581 52
  3.9204968 -0.847733305 53
  3.93049681 -0.794873879 54
  3.94049681 -0.784657876 55
  3.95049681 -0.781989074 56
  3.96049681 -0.800312975 57
  3.97049681 -0.807044103 58
  3.98049681 -0.77938747 59
  3.99049681 -0.720836127 60
  4.00049681 -0.660656892 61
  4.01049681 -0.592450553 62
  4.02049681 -0.513250257 63
  4.03049681 -0.461836216 64
  4.04049681 -0.46497301 65
  4.05049681 -0.478966304 66
  4.06049681 -0.493635169 67
  4.07049681 -0.496492761 68
  4.08049681 -0.434966444 69
  4.09049681 -0.369811522 70
  4.10049681 -0.343627725 71
  4.11049681 -0.331938288 72
  4.12049681 -0.324175474 73
  4.13049681 -0.278266476 74
  4.14049682 -0.196498945 75
  4.15049682 -0.135508648 76
  4.16049682 -0.149317916 77
  4.17049682 -0.161670807 78
  4.18049682 -0.13979562 79
  4.19049682 -0.0897923349 80
  4.20049682 -0.0485573479 81
  4.21049682 -0.00403158865 82
  4.22049682  0.0512578735 83
  4.23049682  0.11086733 84
  4.24049682  0.17984493 85
  4.25049682  0.265923434 86
  4.26049682  0.31468161 87
  4.27049682  0.359012868 88
  4.28049682  0.447209307 89
  4.29049682  0.534560098 90
  4.30049682  0.617796186 91
  4.31049682  0.704229521 92
  4.32049682  0.763158051 93
  4.33049682  0.822791406 94
  4.34049682  0.882447906 95
  4.35049683  0.950416069 96
  4.36049683  1.01776493 97
  4.37049683  1.09289916 98
  4.38049683  1.17499622 99
  4.39049683  1.27647782 100
  4.40049683  1.36590037 101
  4.41049683  1.42823227 102
  4.42049683  1.48655508 103
  4.43049683  1.59597436 104
  4.44049683  1.71979111 105
  4.45049683  1.80287173 106
  4.46049683  1.86597846 107
  4.47049683  1.96005982 108
  4.48049683  2.04216083 109
  4.49049683  2.14014211 110
  4.50049683  2.2458307 111
  4.51049683  2.36480896 112
  4.52049683  2.48244997 113
  4.53049683  2.59571045 114
  4.54049683  2.71756127 115
  4.55049683  2.85765172 116
  4.56049684  3.01727507 117
  4.57049684  3.17353946 118
  4.58049684  3.31860891 119
  4.59049684  3.45324787 120
  4.60049684  3.59759596 121
  4.61049684  3.74648212 122
  4.62049684  3.88317996 123
  4.63049684  4.0379807 124
  4.64049684  4.19715238 125
  4.65049684  4.34403754 126
  4.66049684  4.4646159 127
  4.67049684  4.54923282 128
  4.68049684  4.61695124 129
  4.69049684  4.69712157 130
  4.70049684  4.79075218 131
